WorkerId,AssignmentStatus,Input.CONFIG,Answer.annotations,Answer.feedback
mt:20e3ce6376305669:72e0cdea91e8010773a6e86c72b4e85751428957fb9f524894a05c9af625f19c,Submitted,skin-fitz-dl-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.680241935483871, ""upperBound"": 0.7350806451612903}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.7759408602150538, ""upperBound"": 0.9006720430107527}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.6426075268817204, ""upperBound"": 0.8533602150537635}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.301747311827957, ""upperBound"": 0.5834677419354839}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.4275537634408602, ""upperBound"": 0.5415322580645161}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0.8608870967741935, ""upperBound"": 0.9318548387096774}], ""selfReport"": {""lowerBound"": 0.6168010752688172, ""upperBound"": 0.8189516129032258}, ""surveyResults"": {""likert0"": ""strong_agree"", ""likert1"": ""neutral"", ""likert2"": ""agree"", ""likert3"": ""agree"", ""likert4"": ""agree""}, ""demographics"": {""age"": 44, ""gender"": [""female""], ""race"": [""white""]}, ""participantId"": ""mt:20e3ce6376305669:72e0cdea91e8010773a6e86c72b4e85751428957fb9f524894a05c9af625f19c"", ""condition"": ""mt"", ""exitComments"": """", ""completed"": true}",{}
mt:0795b7f9b86d5dd7:d6a1d4cb15decaecb2ac30096843881d4e491edf3b5334d7812569b17968a3e3,Submitted,skin-fitz-dl-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.5854838709677419, ""upperBound"": 0.7295698924731183}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.5908602150537634, ""upperBound"": 0.7424731182795699}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.6026881720430107, ""upperBound"": 0.7521505376344086}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.7295698924731183, ""upperBound"": 0.8876344086021506}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.27903225806451615, ""upperBound"": 0.4306451612903226}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0.7338709677419355, ""upperBound"": 0.8704301075268818}], ""selfReport"": {""lowerBound"": 0.4521505376344086, ""upperBound"": 0.5854838709677419}, ""surveyResults"": {""likert0"": ""agree"", ""likert1"": ""agree"", ""likert2"": ""strong_agree"", ""likert3"": ""neutral"", ""likert4"": ""disagree""}, ""demographics"": {""age"": 35, ""gender"": [""female""], ""race"": [""black"", ""latino"", ""asian""]}, ""participantId"": ""mt:0795b7f9b86d5dd7:d6a1d4cb15decaecb2ac30096843881d4e491edf3b5334d7812569b17968a3e3"", ""condition"": ""mt"", ""exitComments"": """", ""completed"": true}",{}
mt:73e05c50e41fab69:02e07fde3f49062a846ef4df1c07bc3878bd11ad6904dd9f5e6b4f81e12edcdb,Submitted,skin-fitz-dl-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.5827956989247312, ""upperBound"": 0.5946236559139785}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.7516129032258064, ""upperBound"": 0.7784946236559139}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.35376344086021505, ""upperBound"": 0.4075268817204301}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.2129032258064516, ""upperBound"": 0.23870967741935484}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.4118279569892473, ""upperBound"": 0.44193548387096776}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0.6903225806451613, ""upperBound"": 1}], ""selfReport"": {""lowerBound"": 0, ""upperBound"": 1}, ""surveyResults"": {""likert0"": ""strong_agree"", ""likert1"": ""strong_agree"", ""likert2"": ""agree"", ""likert3"": ""agree"", ""likert4"": ""strong_agree""}, ""demographics"": {""age"": 25, ""gender"": [""female""], ""race"": [""white""]}, ""participantId"": ""mt:73e05c50e41fab69:02e07fde3f49062a846ef4df1c07bc3878bd11ad6904dd9f5e6b4f81e12edcdb"", ""condition"": ""mt"", ""exitComments"": ""its very nice task"", ""completed"": true}",its very nice task
mt:41dde0d74f865cc8:7595de85f28dad76b24a2df98c1b7b921a4efaf0f40ced51af3ae5069fcc336b,Submitted,skin-fitz-dl-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.5208602084908435, ""upperBound"": 1}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.7584946170929939, ""upperBound"": 0.8918279504263272}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.566021498813424, ""upperBound"": 0.6509677353725638}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.5961290256951445, ""upperBound"": 0.6187096708564348}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.4412903160177251, ""upperBound"": 0.5595698859101983}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0, ""upperBound"": 0.7584946170929939}], ""selfReport"": {""lowerBound"": 0.8133333267704133, ""upperBound"": 0.8972042945123488}, ""surveyResults"": {""likert0"": ""neutral"", ""likert1"": ""strong_disagree"", ""likert2"": ""strong_disagree"", ""likert3"": ""strong_agree"", ""likert4"": ""strong_agree""}, ""demographics"": {""age"": 43, ""gender"": [""female""], ""race"": [""white""]}, ""participantId"": ""mt:41dde0d74f865cc8:7595de85f28dad76b24a2df98c1b7b921a4efaf0f40ced51af3ae5069fcc336b"", ""condition"": ""mt"", ""exitComments"": ""GROSS images"", ""completed"": true}",GROSS images
mt:5c7ebccfb0c2f386:412121ad5fdebaf6054cc7bd61f599f61ef5edf743a84fd061da61081f67858b,Submitted,skin-fitz-dl-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.42561094222530244, ""upperBound"": 0.7342130927629368}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.7428152433005712, ""upperBound"": 1}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.4234604045908938, ""upperBound"": 0.8965786841607863}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.43098728631132394, ""upperBound"": 0.7299120174941196}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.263245350827453, ""upperBound"": 0.5761485766339046}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0.5826001895371303, ""upperBound"": 0.8933528777091734}], ""selfReport"": {""lowerBound"": 0.8557184691070229, ""upperBound"": 1}, ""surveyResults"": {""likert0"": ""strong_agree"", ""likert1"": ""agree"", ""likert2"": ""agree"", ""likert3"": ""agree"", ""likert4"": ""strong_agree""}, ""demographics"": {""age"": 36, ""gender"": [""male""], ""race"": [""white""]}, ""participantId"": ""mt:5c7ebccfb0c2f386:412121ad5fdebaf6054cc7bd61f599f61ef5edf743a84fd061da61081f67858b"", ""condition"": ""mt"", ""exitComments"": """", ""completed"": true}",{}
mt:4696dfdc98919a6e:5f41895492cccd823a4bc65487d9cbfe4f3c363b133dd57258599d1bd165340f,Submitted,skin-fitz-ld-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.2615591397849462, ""upperBound"": 0.3400537634408602}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.10349462365591398, ""upperBound"": 0.17338709677419356}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.26801075268817204, ""upperBound"": 0.47446236559139787}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.2938172043010753, ""upperBound"": 0.4120967741935484}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.48629032258064514, ""upperBound"": 0.6163978494623656}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0.13252688172043012, ""upperBound"": 0.2669354838709677}], ""selfReport"": {""lowerBound"": 0.18951612903225806, ""upperBound"": 0.25510752688172045}, ""surveyResults"": {""likert0"": ""agree"", ""likert1"": ""neutral"", ""likert2"": ""strong_agree"", ""likert3"": ""strong_agree"", ""likert4"": ""strong_agree""}, ""demographics"": {""age"": 38, ""gender"": [""female""], ""race"": [""white""]}, ""participantId"": ""mt:4696dfdc98919a6e:5f41895492cccd823a4bc65487d9cbfe4f3c363b133dd57258599d1bd165340f"", ""condition"": ""mt"", ""exitComments"": """", ""completed"": true}",{}
mt:c9a209ab188915d2:57f93c31a5e4006df8751b1c10c3e708658ce9954f7cf149d45cf7cb1ec92989,Submitted,skin-fitz-ld-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.25591397849462366, ""upperBound"": 0.25806451612903225}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.26021505376344084, ""upperBound"": 0.2623655913978495}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.5817204301075268, ""upperBound"": 0.5827956989247312}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.26021505376344084, ""upperBound"": 0.5806451612903226}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.5795698924731183, ""upperBound"": 0.9021505376344086}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0.1010752688172043, ""upperBound"": 0.7408602150537634}], ""selfReport"": {""lowerBound"": 0.0989247311827957, ""upperBound"": 0.5795698924731183}, ""surveyResults"": {""likert0"": ""strong_agree"", ""likert1"": ""agree"", ""likert2"": ""agree"", ""likert3"": ""strong_agree"", ""likert4"": ""agree""}, ""demographics"": {""age"": 25, ""gender"": [""female""], ""race"": [""white""]}, ""participantId"": ""mt:c9a209ab188915d2:57f93c31a5e4006df8751b1c10c3e708658ce9954f7cf149d45cf7cb1ec92989"", ""condition"": ""mt"", ""exitComments"": ""The study was good and useful"", ""completed"": true}",The study was good and useful
mt:7557e1132924582c:296c244ff183d5fd80edf9dbe44b3e2f4e98ac833a1f4c56313956060e165960,Submitted,skin-fitz-ld-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.256989247311828, ""upperBound"": 0.26021505376344084}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.7462365591397849, ""upperBound"": 0.7548387096774194}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.5688172043010753, ""upperBound"": 0.6053763440860215}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.5763440860215053, ""upperBound"": 0.5795698924731183}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.5795698924731183, ""upperBound"": 0.5795698924731183}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0.578494623655914, ""upperBound"": 0.578494623655914}], ""selfReport"": {""lowerBound"": 0.4129032258064516, ""upperBound"": 0.4182795698924731}, ""surveyResults"": {""likert0"": ""agree"", ""likert1"": ""neutral"", ""likert2"": ""agree"", ""likert3"": ""disagree"", ""likert4"": ""agree""}, ""demographics"": {""age"": 39, ""gender"": [""male""], ""race"": [""white""]}, ""participantId"": ""mt:7557e1132924582c:296c244ff183d5fd80edf9dbe44b3e2f4e98ac833a1f4c56313956060e165960"", ""condition"": ""mt"", ""exitComments"": """", ""completed"": true}",{}
mt:93fdd45d863dda83:4eb5046c1b50399e7fa699a3df19c1d18acfcd56eb561879eef43a3ae0fb34c0,Submitted,skin-fitz-ld-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.27646353116599465, ""upperBound"": 0.39689363869287636}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.2721624558971774, ""upperBound"": 0.2915172946068548}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.28399041288642474, ""upperBound"": 0.41732374621975804}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.4216248214885753, ""upperBound"": 0.5581839612735215}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.4366785849294355, ""upperBound"": 0.5571086924563172}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0.07431299353158602, ""upperBound"": 0.22054955267137097}], ""selfReport"": {""lowerBound"": 0.10872159568212365, ""upperBound"": 0.24528073546706988}, ""surveyResults"": {""likert0"": ""agree"", ""likert1"": ""agree"", ""likert2"": ""strong_agree"", ""likert3"": ""disagree"", ""likert4"": ""strong_agree""}, ""demographics"": {""age"": 45, ""gender"": [""female""], ""race"": [""asian""]}, ""participantId"": ""mt:93fdd45d863dda83:4eb5046c1b50399e7fa699a3df19c1d18acfcd56eb561879eef43a3ae0fb34c0"", ""condition"": ""mt"", ""exitComments"": ""Why were all the pictures of people who had a skin infection, disease or wound?"", ""completed"": true}","Why were all the pictures of people who had a skin infection, disease or wound?"
mt:d1574d1af0d2b078:715b07eaf0f8e1b446110e64898cc01bc414727159ab6b0910271b77c1320033,Submitted,skin-fitz-ld-g-0.json,"{""answers"": [{""itemId"": ""data/Skin_Condition/f03b5f7dab096ea793749f2efccf40e8.jpg"", ""lowerBound"": 0.2645161290322581, ""upperBound"": 0.44946236559139785}, {""itemId"": ""data/Skin_Condition/eb817cc9a0a0d7d2728670a1cb1a38ec.jpg"", ""lowerBound"": 0.3967741935483871, ""upperBound"": 0.5645161290322581}, {""itemId"": ""data/Skin_Condition/ddcad677b7b1e9084f3f51a8e026aa8d.jpg"", ""lowerBound"": 0.46774193548387094, ""upperBound"": 0.5870967741935483}, {""itemId"": ""data/Skin_Condition/ade51126ebbb69e4e54a0bd325bd4086.jpg"", ""lowerBound"": 0.09462365591397849, ""upperBound"": 0.7462365591397849}, {""itemId"": ""data/Skin_Condition/970a43f132f9e171642f44f85112ea13.jpg"", ""lowerBound"": 0.25161290322580643, ""upperBound"": 0.7580645161290323}, {""itemId"": ""data/Skin_Condition/6c395be9325dbb10e55497304b398253.jpg"", ""lowerBound"": 0.5559139784946237, ""upperBound"": 0.6268817204301075}], ""selfReport"": {""lowerBound"": 0.5806451612903226, ""upperBound"": 0.6494623655913978}, ""surveyResults"": {""likert0"": ""strong_agree"", ""likert1"": ""strong_agree"", ""likert2"": ""agree"", ""likert3"": ""strong_agree"", ""likert4"": ""agree""}, ""demographics"": {""age"": 25, ""gender"": [""male""], ""race"": [""latino""]}, ""participantId"": ""mt:d1574d1af0d2b078:715b07eaf0f8e1b446110e64898cc01bc414727159ab6b0910271b77c1320033"", ""condition"": ""mt"", ""exitComments"": ""nice"", ""completed"": true}",nice
